Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Tyson Alualu,,,,,,,,,,,,,,,,P,28,LDT,3000000,Jags,2015
Thurston Armbrister,,Q,,,,,,,,,,,,,,,,,,Jags,2015
Zane Beadles,,,,P,,,,Q,P,,,,,,,,29,LG,5000000,Jags,2015
Arrelious Benn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Michael Bennett,P,,,,,,,,Q,Q,P,,,,,,,,,Jags,2015
Blake Bortles,,,,,,P,,,,,,,,,,,23,QB,4694275,Jags,2015
Luke Bowanko,,,,,,P,,,,,,,,,,,,,,Jags,2015
Andre Branch,O,O,O,,,,,,,,,,,P,,,26,LDE,1619525,Jags,2015
Sergio Brown,,,,D,P,,,,,,,,P,Q,P,,,,,Jags,2015
A.J. Cann,,,,,,,,,,,,,,,P,,24,RG,635399,Jags,2015
Chris Clemons,,,,P,P,P,P,,P,P,,P,P,P,P,P,34,LDE,5000000,Jags,2015
Aaron Colvin,,,,,P,P,,,,,,,,,P,,24,RCB,548288,Jags,2015
Johnathan Cyprien,P,D,Q,,,,P,,,,,P,P,,,P,25,SS,1491574,Jags,2015
Ryan Davis,,,,,,,,,,,,,Q,D,P,,,,,Jags,2015
Josh Evans,,P,,P,,,,P,,,,P,,,,,24,FS,617205,Jags,2015
Dante Fowler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Toby Gerhart,Q,D,P,,,,,,P,P,P,O,IR,IR,IR,IR,,,,Jags,2015
Corey Grant,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Dwayne Gratz,,O,O,,,,,,,,,,,Q,P,,,,,Jags,2015
Rashad Greene,,P,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Jags,2015
Clay Harbor,,,,,,,Q,,,,,,,,,,,,,Jags,2015
Evander Hood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,,,,Jags,2015
Davon House,,,,P,P,P,,,,,,,,,,,26,LCB,6500000,Jags,2015
Allen Hurns,,,P,P,P,P,P,P,Q,P,P,O,,P,P,P,24,WR,511666,Jags,2015
Nic Jacobs,,,,,,,,,,D,P,,Q,Q,P,,,,,Jags,2015
Luke Joeckel,,Q,Q,,,,,,,,,,,,,P,24,LT,5782254,Jags,2015
Abry Jones,,,,,,P,,,,,,,,,,O,,,,Jags,2015
Marqise Lee,D,P,P,O,O,O,O,D,Q,P,,,,,,,,,,Jags,2015
Marcedes Lewis,,,,,P,,,,,,,P,,,,,31,TE,3850000,Jags,2015
Brandon Linder,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Craig Loston,,,,,,,,,,,D,,,,,,,,,Jags,2015
John Lotulelei,,,,,O,,,,,,,,,,,,,,,Jags,2015
Sen'Derrick Marks,O,O,D,O,Q,P,P,,,O,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Demetrius McCray,,,,,,,,,,,,,,,,P,,,,Jags,2015
Roy Miller,,,,P,,,,,,P,P,P,P,P,P,P,28,RDT,3850000,Jags,2015
Jason Myers,,,,,,,,,,,,P,,,,,,,,Jags,2015
Jared Odrick,,,,,,,,,,,,,,,,P,28,RDE,9000000,Jags,2015
Jermey Parnell,,,,,,P,P,,,,,,P,P,,Q,29,RT,8000000,Jags,2015
Bernard Pierce,,,,,,O,,,,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Paul Posluszny,,,,,Q,P,,,,,,,O,P,P,,31,MLB,6885416,Jags,2015
Hayes Pullard,,,,,,,,,,,,,,,,Q,,,,Jags,2015
LaRoy Reynolds,P,,,,,,,,,,,,,,,,,,,Jags,2015
Allen Robinson,,,,,,,P,,,,,,,,,P,,,,Jags,2015
Denard Robinson,,,D,O,O,P,,,,,,,,,P,,,,,Jags,2015
James Sample,,,,,IR,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Tyler Shatley,,,,P,,,,,,,,,,,,,,,,Jags,2015
Dan Skuta,,,,,,,,,Q,Q,O,O,P,,P,,29,RLB,4600000,Jags,2015
Telvin Smith,,,,,,,,,,,,,,,D,O,24,LLB,562763,Jags,2015
Neal Sterling,,,,,,,,,,,D,Q,,,,,,,,Jags,2015
Julius Thomas,O,O,O,O,Q,P,P,P,P,P,,,,,,,27,TE,10300000,Jags,2015
Peyton Thompson,,,,,,,,,,,P,,,,,,,,,Jags,2015
Bryan Walters,P,,,,,,,,,Q,,Q,Q,Q,P,,,,,Jags,2015
Tony Washington,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2015
Josh Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2015
T.J. Yeldon,,,,,,Q,Q,,,Q,,,P,D,D,O,22,RB,1075231,Jags,2015
Sam Young,,,,,,P,,,,,,,,,,,,,,Jags,2015
