Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Mario Alford,,,,,,,,,,,,,Q,,,,,,
Russell Bodine,,,,,,,,,,,,,,P,,,23,C,624114
Clint Boling,,,,,,,,,,,,,P,,,,26,LG,5100000
Vontaze Burfict,IR,IR,IR,IR,IR,IR,,,P,P,P,P,,P,P,,25,RLB,5175000
Andy Dalton,,,,,,,,,,,P,,,O,O,O,28,QB,9600000
Darqueze Dennard,P,,,,,,,,,,O,IR,IR,IR,IR,IR,,,
Carlos Dunlap,P,,,,,,,Q,,P,,,,,,P,,,
Tyler Eifert,,,,,,,,,,,P,D,P,O,O,P,,,
Jake Fisher,,,,,,,,,,,,,D,O,P,,,,
Wallace Gilberry,,,P,,Q,,,,,,,,,,,,,,
A.J. Green,,,P,,,,,,,,,,,,,,,,
Leon Hall,P,,,,,Q,Q,,,,,Q,Q,P,,,,,
Marcus Hardison,O,O,D,Q,,,,,,,,,,,,,,,
Ryan Hewitt,,,,,,,,,,,,,P,,,O,24,TE,513333
Jeremy Hill,,,,,P,,,,,,,,,,,,23,RB,853091
George Iloka,,Q,,D,Q,,,,,,,Q,Q,O,D,P,25,SS,1582075
Michael Johnson,P,,,,,,,,,D,,,,P,,,28,RDE,2600000
Adam Jones,,,,Q,P,P,,,,D,Q,Q,D,P,,,,,
Marvin Jones,,,,,,P,,,,,P,,,,,P,25,WR,700700
Dre Kirkpatrick,,P,,P,,P,,,,,P,P,P,P,,,26,LCB,2743680
Emmanuel Lamur,P,,,,,,,,,,,P,,,P,,,,
Chris Lewis-Harris,,,,,,,,,,,,D,,,,,,,
Rey Maualuga,,,,,,,,Q,P,,,,,,,,28,MLB,7137500
Reggie Nelson,P,P,P,,P,,,,,,,,,,,,,,
Cedric Ogbuehi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Sean Porter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Vincent Rey,,,,,,,,,,,,,,,P,,28,RLB,3100000
Josh Shaw,Q,Q,,,,,,,,,,,P,,,,,,
Pat Sims,,,O,P,,,,,,D,Q,,,,,,,,
Andre Smith,,,P,P,,P,,O,O,P,P,P,,,,,28,RT,6362500
Brandon Tate,,,,,,P,,,,,,,,,,,,,
Brandon Thompson,,,,,,,,,,,,,,,,,,,
Andrew Whitworth,P,,P,,,,,,,,,,,P,,,,,
Shawn Williams,,,,,,,,,,P,P,,,,,,,,
James Wright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kevin Zeitler,,,,,,P,,,P,,,,,,,,25,RG,2400427
