Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week15,Week 16,Age,Pos,Salary,Team,Year
Terron Armstead,,,,,,,,,,O,O,O,O,O,,O,,,,Saints,2018
Jay Bromley,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Dez Bryant,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Jermon Bushrod,Q,,,,,Q,,,,,,,,,O,O,34,lt,955294,Saints,2018
Simmie Cobbs,,,,,,,,,,,,,,,,,,,,Saints,2018
Brandon Coleman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Marcus Davenport,,,,Q,,,,O,O,O,Q,,,,,,,,,Saints,2018
Tyeler Davison,,O,O,,,,,,,,,,,,,,26,RDT,1907000,Saints,2018
Travin Dural,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
John Fullington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Ted Ginn Jr.,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,Saints,2018
Michael Hoomanawanui,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Rickey Jefferson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Keith Kirkwood,,,,,,,,,,,,,,,,,,,,Saints,2018
Daniel Lasco,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Josh LeRibeus,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Tommylee Lewis,,,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,,,,Saints,2018
Mitchell Loewen,,,,,,,O,,,,,,,,,,,,,Saints,2018
Cameron Meredith,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Michael Ola,,,,,,,,,,,,,,IR,IR,IR,,,,Saints,2018
Andrus Peat,Q,,Q,,,O,,,,,,,,,,,,,,Saints,2018
Sheldon Rankins,,,,,,,,,,,,,,,,,24,LDT,1613786,Saints,2018
Patrick Robinson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Tre'Quan Smith,,,,,,,,,,,Q,,,,,,22,WR,480000,Saints,2018
Taylor Stallworth,,,,,,O,,,,,,,,,,,,,,Saints,2018
Manti Te'o,,,O,O,Q,,,,,,,,,,,,,,,Saints,2018
John Theus,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Cameron Tom,,,,,Q,,,,,,,,,,,,,,,Saints,2018
Shane Vereen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2018
Larry Warford,,,,,,Q,,,,,,,,,,O,,,,Saints,2018
Ben Watson,,,,,,,,,,,,,,,,,,,,Saints,2018
