Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Colt Anderson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Sam Barrington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kelvin Benjamin,,,,,,,,,,,Q,O,,Q,Q,,26,WR,1000000
Travaris Cadet,,,,,,,,,,,,,,,,IR,,,
Charles Clay,,,,,,O,O,O,Q,Q,Q,Q,,,,,28,TE,4500000
Marcell Dareus,,,O,,,,,,,,,,,,,,,,
Patrick DiMarco,,,,,,,,,,,,Q,,,,,28,FB,1300000
E.J. Gaines,,,,,Q,Q,O,O,Q,,,,,,Q,,25,RCB,1797000
Cordy Glenn,,,O,O,Q,,,,IR,IR,IR,IR,IR,O,IR,IR,28,lt,9000000
Ryan Groy,,,,,,,,,,,,,,,,Q,,,
Seantrel Henderson,,,,,,,,,Q,,,Q,Q,,,,,,
Andre Holmes,,,,,,,,,,,,,,,IR,IR,,,
Jerry Hughes,,,,,,,,,,Q,,,,,,,29,RDE,5400000
Ramon Humber,,,,,O,O,O,Q,,,,,,,,,30,RLB,900000
Micah Hyde,,,,,Q,,,,,,,,,,,,,,
Richie Incognito,,,,,,,Q,,,,,,,,,,,,
Leonard Johnson,,Q,,,,Q,,,,,,,Q,,,,27,lb,775000
Taiwan Jones,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shaq Lawson,,,,Q,,,,,,,,,IR,IR,IR,IR,23,LDE,917226
Jordan Matthews,,,,,O,Q,,,,Q,Q,Q,IR,IR,IR,IR,25,wr,1094900
LeSean McCoy,,,,,,,,,,,,,,,,,,,
Conor McDermott,,,,,,,,,,,,Q,,,,,,,
Matt Milano,,,,,,,,,,,,,,,,,23,rlb,465000
John Miller,,,,,,,,,,O,O,O,O,O,Q,,,,
Jordan Mills,,,,,,,,,,,,,,,,,27,RT,1350000
Nick O'Leary,,,,,,,,,,,,Q,,,Q,,,,
Nathan Peterman,,,,,,,,,,,,,,O,,,,,
Jordan Poyer,,,,,,,Q,Q,,,,,,,,,26,FS,1500000
Tyrod Taylor,,,,,,,,,,,,,Q,,,,28,QB,7500000
Deonte Thompson,,,,,,,,,,,Q,,,,,Q,28,WR,501471
Mike Tolbert,,,,,,,,,,O,O,O,,,,,,,
Keith Towbridge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Joe Webb,,,,,,,,,,,,,,,,,,,
Kyle Williams,,,,,,,,,,,,,Q,,Q,,34,LDT,6300000
Jerel Worthy,O,O,O,,,,,,,,,,,,,,,,
Shareece Wright,,,,,Q,,,,,,,,,,,O,30,rcb,800000
Eddie Yarbrough,,,,,,,,,,,,Q,,,,,24,lde,465000
T.J. Yates,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,,,
