Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week15,Week 16,Age,Pos,Salary
Stephone Anthony,,,,,,,,,,,P,,,,,,23,MLB,1405766
Terron Armstead,,,,,O,D,P,P,P,Q,P,Q,P,P,Q,Q,24,LT,769359
Delvin Breaux,,,,,,,,,P,,,,P,,,,26,LCB,439000
Drew Brees,,,O,P,,,,,,,,,,,Q,P,36,QB,26400000
Rafael Bush,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jairus Byrd,O,O,O,P,P,P,P,,,,,,,P,P,P,29,FS,5500000
Marques Colston,,,,,P,D,P,P,P,P,,P,P,P,Q,O,32,wr,6500000
Brandin Cooks,,,P,P,P,,,,,,,,P,,,,22,WR,1905330
Brian Dixon,,,,,,,,,,P,,,P,,,,,,
Dannell Ellerbe,O,O,Q,P,,,P,D,O,O,O,Q,P,,O,O,,,
Jahri Evans,,,O,O,Q,P,,P,P,P,,Q,O,P,,,32,RG,7000000
David Hawthorne,,,,,,,,O,P,O,O,P,,,,,30,LLB,4010000
Tim Hightower,P,,,,,,,,,,,,,,,,,,
Josh Hill,,,,,,,,,,,,,,,,P,25,te,586668
Ramon Humber,,,,,,,P,,O,O,P,,,,,,,,
Kendall Hunter,,,,,,,,,,,,,,,,IR,,,
Mark Ingram,,,,,,,,,,,P,P,IR,IR,IR,IR,26,RB,2000000
John Jenkins,,,,,,P,,,,,,O,O,P,,,26,LDT,746890
Cameron Jordan,,,,P,,,,,,,,,,,,P,,,
Hau'oli Kikaha,,,,,,,,,O,P,P,P,,,,,23,RLB,957511
Tim Lelito,,,,,P,O,P,,,P,,,,,,,26,LG,586668
Keenan Lewis,O,O,Q,P,P,P,O,Q,P,P,IR,IR,IR,IR,IR,IR,,,
Michael Mauti,,,,,,,P,,,,,,,,,,,,
Luke McCown,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike McGlynn,,,,,,,,P,,,,,,,,,,,
Thomas Morstead,,,,,O,O,P,,,,,,,,,,,,
Marcus Murphy,,,,,,,,,,,,,,IR,IR,IR,,,
Andrus Peat,,,,,,,O,O,P,,,,,,,O,22,LG,2071544
Bobby Richardson,,,,,Q,Q,,,,,,,P,,,,23,LDE,436666
Khiry Robinson,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jamarca Sanford,,,,,,,,,,,,P,,,,,,,
Willie Snead,,,,,,,,,P,P,P,D,P,,,,23,WR,435000
Anthony Spencer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
C.J. Spiller,O,Q,,,,,,,,,,,,,IR,IR,,,
Zach Strief,,,,,,,,,,,,,P,P,Q,P,32,RT,3200000
Damian Swann,,,,,,O,O,P,O,O,O,P,,IR,IR,IR,,,
Davis Tull,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ben Watson,,,,,,,,,,,,,,,Q,,35,TE,1900000
Kevin Williams,,,,,P,,,P,P,P,,,,,,,35,RDT,1500000
P.J. Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
