Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Arrelious Benn,,,,,,Q,,,,O,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Michael Bennett,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Blair Brown,,,,,,,,,,Q,,,,,,Q,,,,Jags,2017
A.J. Cann,,,,,,,,Q,Q,,,,,,,,26,RG,721000,Jags,2017
Leonard Fournette,,,,,,,Q,,,Q,,,,Q,,,22,RB,465000,Jags,2017
Tyler Gaffney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Charles Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Tashaun Gipson,Q,,,Q,,,Q,,,,,,,,,,27,SS,5000000,Jags,2017
Rashad Greene,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Chad Henne,,,Q,,,,,,,,,,,,,,,,,Jags,2017
Allen Hurns,,,,,,,,,,O,O,O,O,O,Q,,26,WR,7000000,Jags,2017
Jeron Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Josh Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Abry Jones,,,,,,,,,,,,,,,,Q,26,LDT,2500000,Jags,2017
Marqise Lee,,,,,Q,,Q,Q,Q,,,,,,O,O,26,WR,1125549,Jags,2017
Brandon Linder,,,,,Q,O,O,,,,,,,,,,25,C,5500000,Jags,2017
Lerentee McCray,,,O,O,O,,,,,,,Q,,,Q,,,,,Jags,2017
Jaydon Mickens,,,,,,,,,,,,,,,,,,,,Jags,2017
Taurean Nixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Patrick Omameh,,,,,,Q,,,Q,Q,Q,Q,,,,,28,LG,775000,Jags,2017
Matt Overton,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Jermey Parnell,,,,,,,,,Q,Q,Q,Q,,,,,31,RT,6500000,Jags,2017
Donald Payne,,,,Q,,,,,,,Q,,,,,,,,,Jags,2017
Larry Pinkard,,,,,,,,,,,,,,IR,O,IR,,,,Jags,2017
Calvin Pryor,,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,,,,Jags,2017
Jalen Ramsey,,Q,Q,,,,,,,,Q,,Q,,,,,,,Jags,2017
Mychal Rivera,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Allen Robinson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Cam Robinson,,,Q,,,,,Q,,,,,,,,Q,22,LT,465000,Jags,2017
Edmond Robinson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Telvin Smith,,,,,,,,,,,,O,Q,,,,,,,Jags,2017
Jaelen Strong,,,O,O,Q,,,,,,,,,,,IR,,,,Jags,2017
Carson Tinker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Bryan Walters,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2017
Josh Wells,,,,,,,,,,,,O,,,,,,,,Jags,2017
Dede Westbrook,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,24,wr,348000,Jags,2017
Marquez Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Jags,2017
Jarrod Wilson,,,,,Q,,,,,,,,,,,,,,,Jags,2017
T.J. Yeldon,Q,,,,,,,,,,,,,,,,,,,Jags,2017
