Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week15,Week 16,Age,Pos,Salary,Team,Year
Kiko Alonso,,,,,,,,,,,,,O,O,O,,,,,Saints,2019
Alex Anzalone,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Eli Apple,,,,,,,,,,,,,,,,O,24,CB,2516225,Saints,2019
Terron Armstead,,,,,,,,,,,,O,Q,,,,,,,Saints,2019
Johnson Bademosi,,,,,,,,,,,,,,O,IR,IR,,,,Saints,2019
Vonn Bell,,,,,,,,,,,,,,O,O,O,25,SS,991677,Saints,2019
Drew Brees,,,O,O,O,O,O,Q,,,,,,,,,,,,Saints,2019
Austin Carr,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Will Clapp,,,,O,,,,,,,,Q,Q,,,,,,,Saints,2019
William Compton,IR,,,,,,,,,,,,,,,,,,,Saints,2019
Jared Cook,,,,,,,O,O,,,,,,,,,,,,Saints,2019
Marcus Davenport,,,,,,,,,,,,,,IR,IR,IR,23,RDE,779632,Saints,2019
Matthew Dayes,IR,IR,,,,,,,,,,,,,,,,,,Saints,2019
Mario Edwards,O,,,,,,,,,,,,,,,,,,,Saints,2019
Kaden Elliss,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Chauncey Gardner-Johnson,,,,,,,,,,,,,,,Q,,22,db,"$495,00",Saints,2019
J.T. Gray,,,,,,,,Q,,,,,,,,,,,,Saints,2019
Garrett Griffin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Saquan Hampton,,,,,,,,,,,,,,,IR,IR,,,,Saints,2019
Chase Hansen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Deonte Harris,,,,,,,,,,O,O,Q,,,,,,,,Saints,2019
Trey Hendrickson,,,,,O,O,O,,,,,,,,,,,,,Saints,2019
Krishawn Hogan,,,,,,,,,,,,,,,,IR,,,,Saints,2019
Colton Jumper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Alvin Kamara,,,,,,Q,O,Q,,,,,,,,,,,,Saints,2019
Keith Kirkwood,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
A.J. Klein,,,,,,,,,,,,,O,,,,28,RLB,4100000,Saints,2019
Marshon Lattimore,,,,,,,,,,O,Q,Q,,,,,,,,Saints,2019
Zach Line,,,,,,,,,,,O,O,O,,,Q,,,,Saints,2019
Josh Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Andrus Peat,,,,,,,,,,O,O,O,O,O,Q,,,,,Saints,2019
Sheldon Rankins,O,O,O,Q,,,,,,,,,,IR,IR,IR,,,,Saints,2019
Craig Robertson,Q,,,,,,,,,,,,,,,,,,,Saints,2019
Patrick Robinson,,,,,,,,O,Q,,,,Q,O,Q,,,,,Saints,2019
Tre'Quan Smith,,,O,O,,O,O,O,,,,,,,,,23,WR,616500,Saints,2019
Cameron Tom,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2019
Jason Vander Laan,,,,,,,,,,,,,O,IR,IR,IR,,,,Saints,2019
Larry Warford,,,,,,,,,,,,,,,O,,,,,Saints,2019
Marcus Williams,,,,,,,,,,,,,,,,O,23,FS,1032313,Saints,2019
