Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Keion Adams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Antonio Brown,,,,,,,,,,,,Q,,,O,O,,,
Sammie Coates,,,IR,IR,,,,,,IR,IR,IR,,,IR,,,,
James Conner,,,,,,,,,,,,,,,IR,IR,,,
Jordan Dangerfield,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Sean Davis,,,,Q,,,,,,,,,,,,,24,SS,635771
Greg Ducre,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bud Dupree,Q,,,,,,,,,,,,,,,,24,LOLB,1273390
Ramon Foster,,,,Q,,Q,,,,,,,,,Q,,31,LG,2675000
Marcus Gilbert,,,O,Q,D,,D,O,,,,,,,,,29,rt,4000000
Joe Haden,,,,,,,,,,O,O,O,O,Q,,,28,LCB,1250000
James Harrison,,,,Q,,,,,O,Q,,,,,,,,,
Jerald Hawkins,O,O,Q,,,,,,,,,,,,,,,,
Tyler Matakevich,,,,,,,,,,,,,O,,,,,,
Mike Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Vance McDonald,,Q,,,,,,O,,Q,O,O,,O,,,27,TE,2100000
Mike Mitchell,,,,Q,,,,,,Q,Q,D,Q,,,,30,FS,5000000
Maurkice Pouncey,,,,,,,,,,,,,,,,Q,,,
Coty Sensabaugh,,,,,,,,,,,,,,Q,Q,,,,
Canaan Severin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ryan Shazier,,,,,,,,,,,,,IR,IR,IR,IR,,,
JuJu Smith-Schuster,,,,,,,,,,,O,,,Q,,,21,wr,465000
Dez Stewart,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cameron Sutton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Stephon Tuitt,,Q,Q,,,,O,O,,,,,,,,,24,RDE,1000000
T.J. Watt,,,O,,,,,,,,,,,,,,23,ROLB,465000
J.J. Wilcox,,Q,,,,,,,,,,,,,,,,,
