Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
C.J. Anderson,,Q,P,,,,,P,P,,,,Q,Q,P,P,24,rb,589167
Kenny Anunike,O,O,Q,P,,P,,,,,,,,,,,,,
Marvin Austin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shaquil Barrett,,,,,,,,P,,,,,,,,,,,
Omar Bolden,P,D,Q,P,P,P,P,,,,,,IR,IR,IR,IR,,,
David Bruton,,P,,,,,,,,P,,,Q,P,IR,IR,,,
Josh Bush,,,,,,,,,,,,,,,,,,,
Andre Caldwell,P,,,,,,,,,,,,Q,Q,P,,,,
James Casey,,,,Q,P,,,,,,,,,,,,,,
Ryan Clady,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Owen Daniels,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,33,TE,2750000
Todd Davis,,,,Q,,,,,,,,,,Q,Q,P,,,
Vernon Davis,,,,,,,,,,,,,Q,,,,,,
Lorenzo Doss,,,,,,,,,,,,P,,,,,,,
Bennie Fowler,,,,,Q,P,,,,,,Q,Q,Q,P,,,,
Max Garcia,,,,,,,,,,,,,,,,,24,lg,521423
Virgil Green,,,,,,,,,P,P,P,P,,,,,27,TE,2200000
Chris Harris Jr.,,,,,,,,,,,,,,,,,,,
Ryan Harris,,,,,P,P,P,P,P,P,P,P,P,P,,,30,LT,1420000
Jeff Heuerman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ronnie Hillman,,,,,,,,Q,P,P,,P,Q,P,,,24,RB,942708
Malik Jackson,,Q,,,,,,,,,,,,P,,,25,RDE,1595403
Cody Latimer,,,,,O,P,,,,,,P,,P,,,,,
Peyton Manning,,P,P,P,P,P,,P,P,O,O,O,O,O,O,P,39,QB,17500000
Brandon Marshall,P,P,P,,,,,,,,,,,,,Q,26,LILB,585000
Evan Mathis,,,,P,Q,Q,P,,,,Q,P,P,Q,P,,34,LG,2921875
Lerentee McCray,Q,P,P,,,,,,,,,,,O,P,P,,,
Von Miller,,,,,,,P,,,,,,,,,,,,
Corey Nelson,,,,,,,P,,,,,P,,,,,,,
Jordan Norwood,,,,,,,Q,O,P,,,,,,,,29,wr,745000
Brock Osweiler,,,,,,,,,,,,P,,,P,P,25,qb,1118944
Matt Paradis,,,,,,,,,,P,P,P,P,,,,26,C,435000
Shane Ray,,,,,,,O,O,P,P,,,P,,,,,,
Bradley Roby,,,,,,,,,,,,,,,,,,,
Ty Sambrailo,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Emmanuel Sanders,,,,,,,P,P,Q,Q,P,P,P,P,,P,28,WR,5850000
Michael Schofield,,,,,,,,,,,P,P,P,,,,25,RT,652300
Antonio Smith,,,,,,,,,,Q,P,,,,,,,,
Darian Stewart,,Q,P,,,,,,,,,,P,Q,Q,P,27,FS,1750000
Aqib Talib,,,P,,,Q,P,,,,,,,,,,,,
Demaryius Thomas,,P,,,P,Q,,,,,,,,P,,P,28,WR,13200000
Juwan Thompson,,,,P,,Q,P,,,,,,,,,,,,
Danny Trevathan,,,,,,,,,,P,,,O,P,,,25,RILB,1568018
Louis Vasquez,,,P,P,P,P,,,P,P,,Q,P,,,,28,RG,6250000
Vance Walker,,,,P,,,,,,Q,P,P,P,P,P,P,,,
T.J. Ward,,,,,,,,,,,,O,O,O,Q,Q,29,SS,7514705
DeMarcus Ware,,,,,P,O,P,P,O,O,O,O,P,P,P,,,,
Kayvon Webster,,,D,P,,,,,,,,,,,,,,,
Kyle Williams,,,,,,,,,,,,,,,,,,,
Sylvester Williams,,,,,,,,,,,,O,P,P,,,27,NT,2067750
Derek Wolfe,,,,,,,,,,P,,,,,,,25,LDE,1397881
