Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Eli Apple,,,,,,,,,,,,Q,Q,,,,22,lcb,1138742,Giants,2017
Josh Banks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Odell Beckham Jr.,Q,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Nat Berhe,,,,,,,,,,,,,,O,Q,,,,,Giants,2017
Corbin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Nordly Capi,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,Giants,2017
Jonathan Casillas,,,,Q,,O,O,O,Q,,Q,IR,IR,IR,IR,IR,30,RLB,2750000,Giants,2017
Landon Collins,,,,,,Q,,,,,,,,D,Q,IR,,,,Giants,2017
Orleans Darkwa,,,,Q,,,,,,,,,Q,,,,25,RB,690000,Giants,2017
Zak DeOssie,,,,,,,,,,,Q,,,,,,,,,Giants,2017
Donte Deayon,,,,,,,,Q,D,,,IR,IR,IR,IR,IR,,,,Giants,2017
Brandon Dixon,,,,,,,,,,,,,,Q,,,,,,Giants,2017
Shaun Draughn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Evan Engram,,,,,,,,,,,,,,,,O,23,TE,465000,Giants,2017
Ereck Flowers,,,,,,,,,,,,,,,,Q,23,LT,1743338,Giants,2017
D.J. Fluker,,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Adam Gettis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
B.J. Goodson,,Q,O,,,,,O,O,O,O,,O,,IR,IR,24,MLB,540000,Giants,2017
Curtis Grant,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Giants,2017
Dwayne Harris,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Nigel Harris,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,Giants,2017
Damon Harrison,,,,,,,,,,Q,Q,Q,,,,,29,LDT,8750000,Giants,2017
Bobby Hart,,,O,,,,,,,,,,,,,Q,,,,Giants,2017
Mark Herzlich,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Duke Ihenacho,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Janoris Jenkins,,,Q,,,,,,,,,IR,IR,IR,IR,IR,29,RCB,12900000,Giants,2017
John Jerry,,,,,Q,,,,,,,,,,,,31,LG,925000,Giants,2017
Keeon Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Brett Jones,,,,Q,,,,,,,,,,,,,26,C,615000,Giants,2017
Devon Kennard,,,,,,,,,O,Q,,,,,,,26,LLB,1797000,Giants,2017
Tavarres King,,,,,,,,,,,,,,,IR,O,,,,Giants,2017
Roger Lewis,,,,,,,,,,,,,,Q,,,24,WR,540000,Giants,2017
Brandon Marshall,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,33,wr,3000000,Giants,2017
Avery Moss,,,,,Q,,,,,,,,,,,,,,,Giants,2017
Calvin Munson,,,,,,,O,,Q,,D,,,,,,23,mlb,465000,Giants,2017
