Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week15,Week 16,Age,Pos,Salary,Team,Year
Stephone Anthony,Q,Q,,,,,,,,,,,,,,,,,,Saints,2017
Alex Anzalone,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Terron Armstead,O,O,O,Q,Q,Q,,,Q,,,Q,Q,,,O,26,LT,4200000,Saints,2017
Dan Arnold,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Bryan Braman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,,Saints,2017
Delvin Breaux,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Brandon Coleman,,,,,,,,,,,,,,,,,,,,Saints,2017
Ken Crawley,,,,,,,,,,,O,,,,,,24,LCB,540000,Saints,2017
Jon Dorenbos,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Dannell Ellerbe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,,Saints,2017
Nick Fairley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Coby Fleener,,,,,,,,,,,,O,IR,IR,IR,IR,,,,Saints,2017
Corey Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Ted Ginn Jr.,,,,,,,,,,,,,,Q,,,32,WR,2000000,Saints,2017
Garrett Griffin,,,,,,,,,,,,,,,O,,,,,Saints,2017
Clay Harbor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Ben Heeney,,,,O,,,,,,,,,,,,,,,,Saints,2017
Taysom Hill,,,,,,,,,,,,,,,,,,,,Saints,2017
Michael Hoomanawanui,,,,,,,,,,,,,,,O,O,29,TE,1350000,Saints,2017
John Hughes,,,,,,,,,,,,,,,,IR,,,,Saints,2017
Mark Ingram,,,,,,,,,,,,,Q,,,,,,,Saints,2017
Hau'oli Kikaha,,,,,,,,,,,,,,,,IR,,,,Saints,2017
A.J. Klein,,,,,,,,,,Q,,,,IR,IR,IR,26,RLB,1700000,Saints,2017
John Kuhn,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Daniel Lasco,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Marshon Lattimore,,,O,,,,,,,,O,Q,Q,,,,,,,Saints,2017
DeMarcus Lawrence,IR,,IR,,IR,,,,,,IR,IR,IR,,,,,,,Saints,2017
Devaroe Lawrence,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Mitchell Loewen,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Michael Mauti,,,,,,,,,,,,,,,,,,,,Saints,2017
Tony McDaniel,,,,,,,,,,,,,,,,,,,,Saints,2017
Sterling Moore,,,O,Q,,,,,,,,,,,,,,,,Saints,2017
Alex Okafor,,,,,,,,,,,IR,IR,IR,IR,IR,IR,26,RDE,935000,Saints,2017
David Parry,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Andrus Peat,,,,,Q,,,,,,,,O,Q,,,24,LG,1470773,Saints,2017
John Phillips,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,Saints,2017
Willie Snead,,,,Q,Q,Q,,,,,,,,,,,25,WR,615000,Saints,2017
Zach Strief,,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Nathan Stupar,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Damian Swann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Kenny Vaccaro,,,,,,,,,O,Q,,,,,IR,IR,26,SS,5676000,Saints,2017
Martin Wallace,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
Larry Warford,,,,,,,O,O,Q,,,,,,,,,,,Saints,2017
Marcus Williams,,,,,,,,,,,,O,Q,,,,21,FS,465000,Saints,2017
P.J. Williams,,,,,,,,,,,,Q,,,,,24,lcb,640000,Saints,2017
Jordan Williams-Lambert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2017
