Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Justin Bethel,Q,,Q,Q,Q,,,,,,Q,,,,,,,,
Elie Bouka,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tyvon Branch,,,,Q,,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,30,db,"$1,250,00"
Jaron Brown,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
John Brown,,,,,,,D,Q,,,,Q,Q,Q,Q,Q,26,WR,612000
C.B. Bryant,,,,,,,,,,,Q,,,,,,,,
Deone Bucannon,,,,,,,,,,Q,,,,IR,IR,IR,24,LILB,1120837
Drew Butler,,,,O,,,,,,,,,,,,,,,
Durell Eskridge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Alani Fua,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brittan Golden,,,,,,,,,,,Q,,,,,,,,
Markus Golden,,,,,,,,,,,,,Q,,,,,,
Jermaine Gresham,,,,,,,,,,,,,,Q,,,28,TE,3000000
D.J. Humphries,,,,,,,,,,,,,,O,O,O,23,RT,840096
Mike Iupati,,,,,,D,,,,,,,,,,,29,LG,4500000
Tony Jefferson,,,,,,,,,,,,,,,,IR,24,SS,1671000
Mike Jenkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ulrick John,,,,,,,,,,,,,,IR,IR,IR,,,
Chris Johnson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Lamar Louis,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Gabe Martin,,,,,,,D,,,IR,IR,IR,IR,IR,IR,IR,,,
Kareem Martin,O,O,D,Q,,,,,,,,,,,,,,,
Tyrann Mathieu,,,,,,,,,O,Q,Q,D,O,,IR,IR,24,FS,1000000
Evan Mathis,,Q,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Mauro,,,,,Q,,,,,,,,,,,,25,RDE,600000
Ifeanyi Momah,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Sio Moore,Q,,,,,,,,,,,,,,,Q,,,
JJ Nelson,,Q,,,,,,,,,,,,,,,24,wr,525000
Troy Niklas,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Robert Nkemdiche,,Q,Q,,,,,,,,,,Q,,,Q,,,
Tristan Okpalaugo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Carson Palmer,,,,,O,,Q,,,,,,,,,,37,QB,7150000
Corey Peters,,,,,,,,,,D,Q,,,,,,28,NT,1750000
Frostee Rucker,,O,D,O,Q,,,,,,,,,,,,,,
Ed Stinson,,,,,O,O,O,O,,,Q,,,,,,,,
Stepfan Taylor,Q,Q,,,,,,,,,,,,,,,,,
Jared Veldheer,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,29,LT,1250000
Brandon Williams,,,,,,,,,,,,,,,Q,,,,
