Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Robert Alford,,,,,,,,O,,,,,,,,,30,LCB,9000000
Ricardo Allen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Justin Bethel,,,,O,O,,,,,,,,,,,,,,
Matt Bryant,,,,,,,O,O,O,,,,Q,,,,,,
Devonta Freeman,,O,O,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Fusco,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,30,RG,2250000
Russell Gage,,O,,,,,,,,,,,,,,,,,
Ben Garland,O,O,,,,,,,,,,,,,,,,,
Josh Harris,Q,,,,,,,,,,,,IR,IR,IR,IR,,,
Grady Jarrett,,,,,O,O,,,,,,,,,,,25,RDT,1907000
Deion Jones,,IR,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,,24,llb,863240
Julio Jones,,,,,,,,,,,,,,,Q,,,,
Andy Levitre,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Terrell McClain,,,,,,,,,,,,,,O,,,30,ldt,825000
Takkarist McKinley,,,O,,,,,,,,,,,,,,23,RDE,929388
Keanu Neal,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Corey Nelson,,,O,,,,,,,,,,,,,,,,
Logan Paulsen,,,,,,,,,,,,,O,,,,31,TE,915000
Wes Schweitzer,,,,,,,,,,,,,,,,O,25,LG,630000
Derrick Shelby,,,O,O,O,O,,,Q,,,IR,IR,IR,IR,IR,,,
Ito Smith,,,,,,,,,,,,,,,IR,IR,,,
Blidi Wreh-Wilson,O,,,,,,,,,,,,,,,,,,
