Player ,09/08vs. CAR,09/18vs. IND,09/25vs. CIN,10/02vs. TAM,10/09vs. ATL,10/13vs. SDG,10/24vs. HOU,10/30vs. SDG,11/06vs. OAK,11/13vs. NOR,11/27vs. KAN,12/04vs. JAX,12/11vs. TEN,12/18vs. NWE,12/25vs. KAN,01/01vs. OAK,Age,Pos,Salary
C.J. Anderson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,25.0,RB,6000000.0
Kapri Bibbs,,,,,,,,,,,,,IR,IR,IR,IR,,,
Sam Brenner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marlon Brown,,,,,,,,,,,,,IR,IR,IR,IR,,,
Todd Davis,,,,,,,,,,,,,,Q,,,24.0,ROLB,600000.0
A.J. Derby,,,,,,,,,,,,,,,O,O,,,
James Ferentz,Q,,,,,,,,,,,,,,,,,,
Bennie Fowler,O,O,Q,,,,,,,,,O,Q,,,,,,
Garrett Graham,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Virgil Green,,,O,O,Q,,,,,,,,,,O,,28.0,TE,2900000.0
Jeff Heuerman,Q,,,,,,,,,,,,,,,,,,
Andy Janovich,,,,,,,,,,,,O,IR,IR,IR,IR,23.0,rb,491077.0
Casey Kreiter,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Brandon Marshall,,,,,,,,Q,,,,,O,O,O,Q,27.0,RILB,680000.0
Corey Nelson,,,Q,,,,,,,,,,,,,,24.0,rilb,612150.0
Matt Paradis,,,,,,,,Q,,,,,,,,,27.0,C,525000.0
Ty Sambrailo,Q,Q,,,,,,,,,,,,,,,,,
Trevor Siemian,,,,,Q,Q,,,,,,O,Q,,,,25.0,QB,538195.0
Justin Simmons,,,Q,,,,,,,,,,,,,,,,
Donald Stephenson,,,O,O,Q,,,,,,,,,,,,28.0,RT,4000000.0
Aqib Talib,,,,,,,,Q,,,,,,,,,,,
Demaryius Thomas,,Q,,,,,,,,,,,,,,,,,
Vance Walker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
T.J. Ward,,,,,,,,,,,,,,,O,O,30.0,SS,5750000.0
DeMarcus Ware,,,O,O,O,O,,Q,,,,,,,,IR,34.0,ROLB,8010418.0
Kayvon Webster,,,,,,,,,,,,,,,,IR,,,
Derek Wolfe,,Q,,,,,,,,,,,,,,O,26.0,LDE,6800000.0
