Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Weel 16,Age,Pos,Salary,Year
Justin Bethel,Q,,Q,Q,Q,,,,,,Q,,,,,,,,,2016
Elie Bouka,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Tyvon Branch,,,,Q,,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,30,db,"$1,250,00",2016
Jaron Brown,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
John Brown,,,,,,,D,Q,,,,Q,Q,Q,Q,Q,26,WR,612000,2016
C.B. Bryant,,,,,,,,,,,Q,,,,,,,,,2016
Deone Bucannon,,,,,,,,,,Q,,,,IR,IR,IR,24,LILB,1120837,2016
Drew Butler,,,,O,,,,,,,,,,,,,,,,2016
Durell Eskridge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Alani Fua,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Brittan Golden,,,,,,,,,,,Q,,,,,,,,,2016
Markus Golden,,,,,,,,,,,,,Q,,,,,,,2016
Jermaine Gresham,,,,,,,,,,,,,,Q,,,28,TE,3000000,2016
D.J. Humphries,,,,,,,,,,,,,,O,O,O,23,RT,840096,2016
Mike Iupati,,,,,,D,,,,,,,,,,,29,LG,4500000,2016
Tony Jefferson,,,,,,,,,,,,,,,,IR,24,SS,1671000,2016
Mike Jenkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Ulrick John,,,,,,,,,,,,,,IR,IR,IR,,,,2016
Chris Johnson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Lamar Louis,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Gabe Martin,,,,,,,D,,,IR,IR,IR,IR,IR,IR,IR,,,,2016
Kareem Martin,O,O,D,Q,,,,,,,,,,,,,,,,2016
Tyrann Mathieu,,,,,,,,,O,Q,Q,D,O,,IR,IR,24,FS,1000000,2016
Evan Mathis,,Q,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Josh Mauro,,,,,Q,,,,,,,,,,,,25,RDE,600000,2016
Ifeanyi Momah,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Sio Moore,Q,,,,,,,,,,,,,,,Q,,,,2016
JJ Nelson,,Q,,,,,,,,,,,,,,,24,wr,525000,2016
Troy Niklas,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Robert Nkemdiche,,Q,Q,,,,,,,,,,Q,,,Q,,,,2016
Tristan Okpalaugo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,2016
Carson Palmer,,,,,O,,Q,,,,,,,,,,37,QB,7150000,2016
Corey Peters,,,,,,,,,,D,Q,,,,,,28,NT,1750000,2016
Frostee Rucker,,O,D,O,Q,,,,,,,,,,,,,,,2016
Ed Stinson,,,,,O,O,O,O,,,Q,,,,,,,,,2016
Stepfan Taylor,Q,Q,,,,,,,,,,,,,,,,,,2016
Jared Veldheer,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,29,LT,1250000,2016
Brandon Williams,,,,,,,,,,,,,,,Q,,,,,2016
