Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Kyle Arrington,,,,,,,,,,,,,,D,,,,,
Nick Boyle,,,,,,,,,,D,P,,,,,,,,
Terrence Brooks,,,,,,O,O,P,,,,,,,,,,,
Marlon Brown,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Michael Campanaro,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Canty,P,P,O,O,O,O,P,,P,P,,P,P,IR,IR,IR,33,RDE,1735000
Will Davis,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Elvis Dumervil,,,,,,Q,P,,,P,,,P,P,,P,,,
Matt Elam,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Joe Flacco,,,,,,,,,,,IR,IR,IR,IR,IR,IR,30,QB,14550000
Chase Ford,,,,,,,,,,,D,IR,IR,IR,IR,IR,,,
Justin Forsett,,P,,,,Q,,,,,IR,IR,IR,IR,IR,IR,30,RB,1600000
Crockett Gillmore,,,,O,O,Q,,,P,,,,IR,IR,IR,IR,24,TE,636504
Chris Givens,,,,,,Q,,,,,,,,,,,26,wr,
Will Hill,,,P,,,,,,,,,,,,,,25,SS,2416045
Asa Jackson,,,,,,,Q,,,,,,,,,,,,
Timmy Jernigan,D,P,,,,,,,,,,,,,,,23,LDE,996114
Kyle Juszczyk,,,,,,,,,,,,,,,,P,24,RB,660146
Kendrick Lewis,,,,,,,Q,Q,,,,,,,,,27,FS,1266666
Albert McClellan,,,,,P,,,,,,,,,D,D,Q,,,
Rashaan Melvin,D,Q,,,,,,,,,,,,,,,,,
Eugene Monroe,,O,,O,P,,,D,P,,IR,IR,O,IR,IR,IR,28,lt,7700000
C.J. Mosley,,,P,,,,,,,,,,,,,,23,LILB,1997273
Kelechi Osemele,,,,,,,,Q,,Q,D,P,,P,,,26,LG,1064595
Breshad Perriman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dennis Pitta,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Allen Reisner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt Schaub,,,,,,,,,,,,,Q,P,,,,,
Daryl Smith,P,P,,,P,P,P,,P,P,,P,P,P,P,P,33,RILB,3875000
Jimmy Smith,,,,,,,,,,,,,P,,P,,27,RCB,3600000
Steve Smith,,,,,D,Q,,P,IR,IR,IR,IR,IR,IR,IR,IR,36,WR,4166666
Terrell Suggs,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Lorenzo Taliaferro,O,P,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brent Urban,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Ricky Wagner,,,,,,,,,,,,P,P,,P,,26,RT,621140
Tray Walker,,,Q,,,,,O,P,,,,,,,,,,
Darren Waller,,Q,,,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Lardarius Webb,,,,,,D,Q,,,,,,,,,,30,LCB,9250000
Terrance West,,,,,,,,,,,,,,Q,,,,,
Brandon Williams,,,,,,,,,,,,,P,,,,26,NT,713750
Maxx Williams,,,,,,,O,Q,,,,O,P,,,,21,te,736861
Julian Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shareece Wright,,,,,,,,,,,Q,,,,,,28,lcb,
Marshal Yanda,,,,,P,Q,P,,,,,,,P,,,,,
Jeremy Zuttah,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,29,C,3700000
