Player ,09/09vs. CLE,09/16vs. KAN,09/24vs. TAM,09/30vs. BAL,10/07vs. ATL,10/14vs. CIN,10/28vs. CLE,11/04vs. BAL,11/08vs. CAR,11/18vs. JAX,11/25vs. DEN,12/02vs. LAC,12/09vs. OAK,12/16vs. NWE,12/23vs. NOR,12/30vs. CIN,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
Olasunkanmi Adeniyi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,,,,,,,,,,,,,
Tyson Alualu,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat Berhe,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Chris Boswell,,,,,,,,,,,,,,,,IR,,,,,,,,,,,,,
Antonio Brown,,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,
Morgan Burnett,,,D,D,D,O,,,,,,D,Q,,,,,,,,,,,,,,,,
Artie Burns,,Q,,,,,,Q,,,,,,,,,25.0,23.0,rcb,16.0,6.0,197.0,2000-06-01,Miami (FL),1995-05-01,2,3.0,Pittsburgh Steelers / 1st / 25th pick / 2016,1321907.0
Joe Cheek,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Anthony Chickillo,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,
James Conner,,,,,,,,,,,,,O,Q,O,Q,,,,,,,,,,,,,
Sean Davis,,,,,,,,,,,,,,,,Q,21.0,25.0,FS,15.0,15.0,202.0,2020-06-01,Maryland,1993-10-23,2,6.0,Pittsburgh Steelers / 2nd / 58th pick / 2016,821543.0
David DeCastro,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,
Bud Dupree,,,,,,,,,,,,Q,,,,,48.0,25.0,ROLB,16.0,15.0,269.0,2020-06-04,Kentucky,1993-02-12,3,8.0,Pittsburgh Steelers / 1st / 22nd pick / 2015,1692583.0
Matt Feiler,,,,,,,,,,,Q,,,,,,71.0,26.0,RT,11.0,10.0,330.0,2020-06-06,Bloomsburg,1992-07-07,4,5.0,,555000.0
L.J. Fort,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,
Marcus Gilbert,,,D,,,,IR,IR,IR,IR,IR,IR,IR,O,IR,IR,77.0,30.0,rt,5.0,5.0,330.0,2020-06-06,Florida,1988-02-15,7,3.0,Pittsburgh Steelers / 2nd / 63rd pick / 2011,4050000.0
Joe Haden,,D,,,,,,,,,,,,,,,23.0,29.0,LCB,15.0,15.0,195.0,2020-05-11,Florida,1989-04-14,8,6.0,Cleveland Browns / 1st / 7th pick / 2010,9000000.0
Jerald Hawkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Cameron Heyward,,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrius Heyward-Bey,,,,,D,O,,,,,,,,,,,,,,,,,,,,,,,
Mike Hilton,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Hunter,,,,,,,,,,,,,IR,IR,IR,IR,,,,,,,,,,,,,
Trey Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Keith Kelsey,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ryan Malleck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Daniel McCullers,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,
Vance McDonald,O,Q,,,,,,,,,,,,,,,89.0,28.0,TE,15.0,14.0,267.0,2020-06-04,Rice,1990-06-13,5,5.0,San Francisco 49ers / 2nd / 55th pick / 2013,790000.0
Jake McGee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ben Roethlisberger,,Q,,,,,,,,,,,,,,,7.0,36.0,QB,16.0,16.0,240.0,2020-06-05,Miami (OH),1982-03-02,14,14.0,Pittsburgh Steelers / 1st / 11th pick / 2004,12000000.0
Eli Rogers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,,
Coty Sensabaugh,,,,,,,,Q,,,,,,,,,24.0,30.0,RCB,15.0,10.0,187.0,2020-05-11,Clemson,1988-11-15,6,4.0,Tennessee Titans / 4th / 115th pick / 2012,1400000.0
Ryan Shazier,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
JuJu Smith-Schuster,,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,
Cameron Sutton,,,,,,,,,,,,Q,,,,,,,,,,,,,,,,,
Ryan Switzer,,,,,,,,,,,,,,Q,,,,,,,,,,,,,,,
Stephon Tuitt,,,,,,,,,,O,O,,,,,,91.0,25.0,RDE,14.0,14.0,303.0,2020-06-06,Notre Dame,1993-05-23,4,7.0,Pittsburgh Steelers / 2nd / 46th pick / 2014,790000.0
Vince Williams,,,,,D,,,,,,,,,,,D,98.0,29.0,RILB,14.0,14.0,233.0,2020-06-01,Florida St.,1989-12-27,5,8.0,Pittsburgh Steelers / 6th / 206th pick / 2013,800000.0
