Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Josh Allen,,,,,,,O,O,O,Q,,,,,,,22.0,QB,480000.0,Biils,2018
Derek Anderson,,,,,,,,,Q,O,O,O,O,,,,,,,Bills,2018
Russell Bodine,,,,,,,,,,,Q,,IR,IR,IR,IR,26.0,C,1150000.0,Biils,2018
Corey Bojorquez,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2018
Cory Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2018
Charles Clay,,,,Q,Q,,,,,O,D,Q,,,,,29.0,TE,4500000.0,Biils,2018
Jason Croom,,,,Q,,,,,,,,,D,,,,,,,Bills,2018
Aaron Green,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2018
Taron Johnson,,O,Q,,,,,,,,Q,,IR,IR,IR,IR,,,,Biils,2018
Taiwan Jones,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2018
Shaq Lawson,,O,O,,,,,,,,Q,,,,,,24.0,lde,1384452.0,Biils,2018
Ryan Lewis,,,,,,,,,,,,,,O,O,Q,,,,Bills,2018
Ray-Ray McCloud,O,Q,Q,,,,O,,,,,,,,,,,,,Biils,2018
Matt Milano,,,,,,,,,,,,,,IR,IR,IR,24.0,RLB,555000.0,Bills,2018
John Miller,,,,,,,,,,,,O,,,,,25.0,RG,1872000.0,Biils,2018
Marcus Murphy,,,,Q,,,,,,,,,,,IR,IR,,,,Bills,2018
Trent Murphy,,,,,,,,O,O,O,Q,,,,,,28.0,LDE,2625000.0,Biils,2018
Julian Stanford,Q,,,,,,,,,,,,,,,O,,,,Bills,2018
Deonte Thompson,,,,,,,,,,,,,,,,O,,,,Bills,2018
