Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Eli Apple,,,,D,Q,Q,,,,,,,,,,,21.0,LCB,450000.0,Giants,2016
Nat Berhe,,,,O,O,O,O,Q,,,,O,O,Q,O,O,,,,Giants,2016
Orleans Darkwa,,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,,,,Giants,2016
Zak DeOssie,,,,,,,Q,,,,,,,,,,,,,Giants,2016
Larry Donnell,,,,,O,,,,,,,,,,,,28.0,te,1671000.0,Giants,2016
Dwayne Harris,,,,,,Q,,,,,,,Q,,,,,,,Giants,2016
Mark Herzlich,,,,,,,,,,,,O,O,,,,,,,Giants,2016
Will Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
Brett Jones,,,,,,,,,,O,O,Q,,,,,,,,Giants,2016
Devon Kennard,,,,,,Q,,,,,,,,,,,25.0,LLB,600000.0,Giants,2016
Matt LaCosse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
Ryan Nassib,,,,,,,,,,,,,,,IR,IR,,,,Giants,2016
Owamagbe Odighizuwa,,,,,,,,,,,,O,Q,,,,,,,Giants,2016
Jason Pierre-Paul,,Q,,,,Q,,,,,Q,,O,O,O,O,27.0,LDE,4250000.0,Giants,2016
Justin Pugh,,,,,,,,,O,O,O,O,Q,,,,26.0,LG,1157307.0,Giants,2016
Jake Rodgers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
Dominique Rodgers-Cromartie,,,,Q,Q,Q,,,,,,,,,,,30.0,LCB,5980000.0,Giants,2016
Byron Stingily,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
J.T. Thomas,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
Robert Thomas,O,O,O,O,,,,,,,,,,,,,,,,Giants,2016
Darian Thompson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
Mykkele Thompson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
Shane Vereen,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,,Giants,2016
Nikita Whitlock,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2016
Kerry Wynn,,,,,,,,O,Q,,,,,,,,,,,Giants,2016
