Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Mario Addison,,,,,,,,Q,,,,,Q,Q,,,32.0,LOLB,6500000.0,Panthers,2019
Kofi Amichia,IR,IR,IR,IR,,,,,,,,,,,,,,,,Panthers,2019
Marcus Baugh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Vernon Butler,,,,,,,,,Q,,,,,,Q,,25.0,DE,1144980.0,Panthers,2019
Ross Cockrell,,,,,,,,,,O,Q,,,,,,28.0,CB,2300000.0,Panthers,2019
Dennis Daley,,,,,,Q,,,,D,Q,,,,,,23.0,LT,495000.0,Panthers,2019
Graham Gano,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Rashaan Gaulden,,Q,O,,,,,,,,,,,,,,,,,Panthers,2019
Dillon Gordon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Brandon Greene,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Woodrow Hamilton,,,,,,,,,,,,,,,O,,,,,Panthers,2019
Marquis Haynes,,,,Q,,,,,,,,,,O,O,Q,,,,Panthers,2019
Chris Hogan,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Panthers,2019
Bruce Irvin,O,O,O,Q,,,,,,,,,,,,,32.0,ROLB,1250000.0,Panthers,2019
Donte Jackson,,,,Q,O,Q,,,,Q,,,,,,,24.0,LCB,698751.0,Panthers,2019
Natrell Jamerson,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Greg Little,O,,,,O,O,O,O,O,,Q,D,O,IR,IR,IR,,,,Panthers,2019
Chris Manhertz,,,,,O,Q,,,,,,,,,,,27.0,te,,Panthers,2019
Gerald McCoy,,,,,Q,,,,,,,,,,,,31.0,DT,3000000.0,Panthers,2019
Garrett McGhin,,,,,,,,,,,,,Q,D,IR,IR,,,,Panthers,2019
Christian Miller,,,,,,O,O,Q,,,,,,,,,,,,Panthers,2019
D.J. Moore,,,,,,,,,,,,,,,,O,22.0,WR,987787.0,Panthers,2019
Cam Newton,,,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Kitt O'Brien,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Greg Olsen,,Q,Q,,,,,,,,,,O,O,,,34.0,TE,1900000.0,Panthers,2019
Damian Parms,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Panthers,2019
Dontari Poe,,,,,,,,,,,,IR,IR,IR,IR,IR,29.0,NT,4500000.0,Panthers,2019
Jordan Scarlett,,,,,,,,,,,,O,IR,IR,IR,IR,,,,Panthers,2019
Kawann Short,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2019
Shaq Thompson,,,,,,Q,,,,,,,,,O,O,25.0,LILB,9232000.0,Panthers,2019
Trai Turner,,,,O,O,O,,,,,,,,,,,,,,Panthers,2019
Destiny Vaeao,IR,IR,IR,IR,,,,,,,,,,,,,,,,Panthers,2019
Greg Van Roten,,,,,,,,,,,,IR,IR,IR,IR,IR,29.0,G,805000.0,Panthers,2019
