Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Keion Adams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2017
Antonio Brown,,,,,,,,,,,,Q,,,O,O,,,,Steelers,2017
Sammie Coates,,,IR,IR,,,,,,IR,IR,IR,,,IR,,,,,Steelers,2017
James Conner,,,,,,,,,,,,,,,IR,IR,,,,Steelers,2017
Jordan Dangerfield,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2017
Sean Davis,,,,Q,,,,,,,,,,,,,24.0,SS,635771.0,Steelers,2017
Greg Ducre,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2017
Bud Dupree,Q,,,,,,,,,,,,,,,,24.0,LOLB,1273390.0,Steelers,2017
Marcus Gilbert,,,O,Q,D,,D,O,,,,,,,,,29.0,rt,4000000.0,Steelers,2017
Joe Haden,,,,,,,,,,O,O,O,O,Q,,,28.0,LCB,1250000.0,Steelers,2017
James Harrison,,,,Q,,,,,O,Q,,,,,,,,,,Steelers,2017
Jerald Hawkins,O,O,Q,,,,,,,,,,,,,,,,,Steelers,2017
Tyler Matakevich,,,,,,,,,,,,,O,,,,,,,Steelers,2017
Mike Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2017
Vance McDonald,,Q,,,,,,O,,Q,O,O,,O,,,27.0,TE,2100000.0,Steelers,2017
Mike Mitchell,,,,Q,,,,,,Q,Q,D,Q,,,,30.0,FS,5000000.0,Steelers,2017
Canaan Severin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2017
Ryan Shazier,,,,,,,,,,,,,IR,IR,IR,IR,,,,Steelers,2017
JuJu Smith-Schuster,,,,,,,,,,,O,,,Q,,,21.0,wr,465000.0,Steelers,2017
Dez Stewart,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2017
Cameron Sutton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Steelers,2017
Stephon Tuitt,,Q,Q,,,,O,O,,,,,,,,,24.0,RDE,1000000.0,Steelers,2017
T.J. Watt,,,O,,,,,,,,,,,,,,23.0,ROLB,465000.0,Steelers,2017
