Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Kenneth Acker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Eli Ankou,,,,,,,,,D,D,Q,,,,,,,,,Jags,2018
A.J. Bouye,,,,,,,,O,O,,,,,,,O,27.0,RCB,13000000.0,Jags,2018
Don Carey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
DJ Chark,,,,,,,,,,,O,O,O,O,O,,,,,Jags,2018
Zach Conque,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Marcell Dareus,,,,,,,,,,Q,Q,,,,,,28.0,LDT,9925000.0,Jags,2018
Cody Davis,Q,,,,,,,,,,,Q,Q,,,,,,,Jags,2018
Kaleb Eulls,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Leonard Fournette,,Q,Q,Q,O,O,O,O,,,,,,,,D,23.0,RB,1699129.0,Jags,2018
DeAndre Goolsby,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Corey Grant,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
David Grinnage,IR,IR,IR,IR,IR,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Ronnie Harrison,,,,,,,,,,,,,,,O,IR,21.0,DB,480000.0,Jags,2018
D.J. Hayden,,,Q,O,O,O,O,D,,,,,,,,Q,28.0,db,2250000.0,Jags,2018
Michael Hughes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Leon Jacobs,,,,,,,,,,,,,,O,IR,IR,,,,Jags,2018
Abry Jones,,,,,,,,,,,,,O,,,,27.0,ldt,3000000.0,Jags,2018
Josh Lambo,,,,,,,,,,,,,,IR,IR,O,,,,Jags,2018
Marqise Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Kapron Lewis-Moore,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Brandon Linder,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,26.0,C,9000000.0,Jags,2018
Lerentee McCray,,,,,,,,,Q,,O,Q,,Q,,,,,,Jags,2018
Quenton Meeks,,,,,,,,,O,O,O,Q,,,,,,,,Jags,2018
Jaydon Mickens,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Andrew Norwell,,,,,,,,,,,,IR,IR,IR,IR,IR,27.0,LG,2000000.0,Jags,2018
James O'Shaughnessy,,,,,,,O,O,Q,,,,,,,,26.0,TE,705000.0,Jags,2018
Jermey Parnell,,,,,,,,,,,,,,IR,O,IR,32.0,RT,4000000.0,Jags,2018
Tyler Patmon,,,,,,,,O,,,,,,,,,,,,Jags,2018
Niles Paul,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Donald Payne,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Jags,2018
Will Richardson,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Cam Robinson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,Jags,2018
Austin Seferian-Jenkins,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,26.0,te,790000.0,Jags,2018
Tevaun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Brandon Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Carson Tinker,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2018
Josh Walker,,,,,,,,,,IR,IR,IR,IR,O,IR,IR,,,,Jags,2018
Josh Wells,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,O,27.0,t,705000.0,Jags,2018
