Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Eli Apple,,,O,O,,,,,,,,,,,,,23.0,lcb,1827484.0,Giants,2018
Thurston Armbrister,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,Giants,2018
Ray-Ray Armstrong,,,,,,,IR,,IR,IR,,,,IR,,,,,,Giants,2018
Sam Beal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Odell Beckham Jr.,,,,,,,,,,,,,,O,O,O,26.0,WR,1459000.0,Giants,2018
Nick Becton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Kaelin Clay,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Stacy Coley,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Landon Collins,,,,,,,,,,,,,IR,IR,IR,IR,,,,Giants,2018
Jawill Davis,,,,,,,O,O,,,,,,,,IR,,,,Giants,2018
Mario Edwards,,,,,,,,,,,,,,,,O,,,,Giants,2018
Rhett Ellison,,,,,,Q,,,,,,,,,,O,30.0,TE,2475000.0,Giants,2018
Evan Engram,,,,O,O,O,,,,,,O,,,,,24.0,TE,952196.0,Giants,2018
Nick Gates,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
B.J. Goodson,,,,,,,,,,,,O,Q,,,,25.0,LILB,630000.0,Giants,2018
Jon Halapio,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Antonio Hamilton,,,,Q,,,,,,,,,,,IR,IR,,,,Giants,2018
Quadree Henderson,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Giants,2018
Cody Latimer,,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Giants,2018
R.J. McIntosh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Giants,2018
Alec Ogletree,,,,,,,,O,,,,,,,O,O,27.0,RILB,3000000.0,Giants,2018
Patrick Omameh,,,,,,,Q,,,,,,,,,,29.0,rg,900000.0,Giants,2018
Paul Perkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Spencer Pulley,,,,,,,,,,,,,,,O,,25.0,C,630000.0,Giants,2018
Russell Shepard,,,,,,O,Q,,,,,,,,O,O,,,,Giants,2018
Kristjan Sokoli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Jonathan Stewart,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Olivier Vernon,O,O,O,O,O,,,,,,,,,,,,,,,Giants,2018
Jordan Williams,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2018
Kerry Wynn,,,,,,,,,,,O,,,,Q,,27.0,de,825000.0,Giants,2018
