Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Josh Banks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Odell Beckham Jr.,Q,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Nat Berhe,,,,,,,,,,,,,,O,Q,,,,,Giants,2017
Corbin Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Nordly Capi,,,,,,,,IR,IR,IR,IR,IR,,,,,,,,Giants,2017
Jonathan Casillas,,,,Q,,O,O,O,Q,,Q,IR,IR,IR,IR,IR,30.0,RLB,2750000.0,Giants,2017
Landon Collins,,,,,,Q,,,,,,,,D,Q,IR,,,,Giants,2017
Orleans Darkwa,,,,Q,,,,,,,,,Q,,,,25.0,RB,690000.0,Giants,2017
Zak DeOssie,,,,,,,,,,,Q,,,,,,,,,Giants,2017
Donte Deayon,,,,,,,,Q,D,,,IR,IR,IR,IR,IR,,,,Giants,2017
Brandon Dixon,,,,,,,,,,,,,,Q,,,,,,Giants,2017
Shaun Draughn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Evan Engram,,,,,,,,,,,,,,,,O,23.0,TE,465000.0,Giants,2017
D.J. Fluker,,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Adam Gettis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
B.J. Goodson,,Q,O,,,,,O,O,O,O,,O,,IR,IR,24.0,MLB,540000.0,Giants,2017
Curtis Grant,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Giants,2017
Dwayne Harris,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Nigel Harris,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,Giants,2017
Damon Harrison,,,,,,,,,,Q,Q,Q,,,,,29.0,LDT,8750000.0,Giants,2017
Bobby Hart,,,O,,,,,,,,,,,,,Q,,,,Giants,2017
Mark Herzlich,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Duke Ihenacho,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Janoris Jenkins,,,Q,,,,,,,,,IR,IR,IR,IR,IR,29.0,RCB,12900000.0,Giants,2017
Keeon Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Devon Kennard,,,,,,,,,O,Q,,,,,,,26.0,LLB,1797000.0,Giants,2017
Tavarres King,,,,,,,,,,,,,,,IR,O,,,,Giants,2017
Brandon Marshall,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,33.0,wr,3000000.0,Giants,2017
Calvin Munson,,,,,,,O,,Q,,D,,,,,,23.0,mlb,465000.0,Giants,2017
Kevin Norwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Romeo Okwara,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Giants,2017
Paul Perkins,,,,,O,O,O,,,,,,,,,,,,,Giants,2017
Jason Pierre-Paul,,,,,Q,,,,,,,,Q,,Q,Q,28.0,LDE,1250000.0,Giants,2017
Darius Powe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,Giants,2017
Justin Pugh,,,,,,,,O,,IR,IR,IR,IR,IR,IR,IR,27.0,RT,8821000.0,Giants,2017
Weston Richburg,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Keenan Robinson,O,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Evan Schwan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Sterling Shepard,,,,,,O,Q,,,,Q,,Q,,,O,24.0,WR,720208.0,Giants,2017
Kelvin Sheppard,,,,,,,,,,D,Q,,,,,,29.0,rlb,423529.0,Giants,2017
Deontae Skinner,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Giants,2017
J.T. Thomas,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Andrew Turzilli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Olivier Vernon,,,,Q,Q,O,O,O,Q,,Q,,,,,,27.0,RDE,11750000.0,Giants,2017
Ishaq Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2017
Kerry Wynn,,,,,,,,O,Q,,,,,,,,,,,Giants,2017
