Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Jake Butt,,,,,,Q,Q,,IR,,,,,,,,Broncos,2020.0
Austin Calitro,,,,IR,IR,IR,IR,,,,,,,26.0,RILB,679412.0,Broncos,2020.0
Jurrell Casey,,,,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR,,,,Broncos,2020.0
Demar Dotson,,,,,,,,,Q,,Q,,,35.0,T,1150000.0,Broncos,2020.0
Jeff Driskel,,,,,,,,,,,C19,C19,C19,27.0,QB,1000000.0,Broncos,2020.0
Austin Fort,,,,,,,,,IR,,,,,,,,Broncos,2020.0
Graham Glasgow,,,,,,,C19,C19,C19,Q,Q,,,28.0,OG,2500000.0,Broncos,2020.0
KJ Hamler,Q,,,,O,,,,,,,,,21.0,WR,610000.0,Broncos,2020.0
Davontae Harris,,,O,Q,,,,,,,,,,,,,Broncos,2020.0
Jonathan Harris,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Shelby Harris,,,,,,,,C19,C19,C19,C19,,,29.0,DE,2000000.0,Broncos,2020.0
Joel Heath,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Ja'Wuan James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Dre'Mont Jones,,,IR,IR,IR,IR,,,,,,,,23.0,DL,685400.0,Broncos,2020.0
Joseph Jones,,,,,,,,,O,O,Q,,,26.0,OLB,825000.0,Broncos,2020.0
Phillip Lindsay,,O,D,Q,,,Q,Q,,,,,,26.0,RB,750000.0,Broncos,2020.0
Drew Lock,,,O,O,Q,,,,,Q,,,,24.0,QB,813674.0,Broncos,2020.0
Trey Marshall,,,,,,,,Q,,,O,,,24.0,S,750000.0,Broncos,2020.0
Von Miller,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Albert Okwuegbunam,,,,,,,,,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Kyle Peko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Mike Purcell,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Dalton Risner,,,,,,Q,,,,,,,,25.0,OL,819649.0,Broncos,2020.0
Diontae Spencer,,,,,,O,O,D,Q,,C19,C19,C19,28.0,WR,675000.0,Broncos,2020.0
Justin Strnad,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Courtland Sutton,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020.0
Derrek Tuszka,,,,,,,IR,IR,IR,IR,IR,IR,IR,24.0,DL,378824.0,Broncos,2020.0
DeMarcus Walker,,,IR,IR,IR,IR,,,,,,,,26.0,DE,1156890.0,Broncos,2020.0
Elijah Wilkinson,,,,IR,IR,IR,IR,IR,IR,IR,,,,25.0,OT,3259000.0,Broncos,2020.0
DeShawn Williams,,,,,,,,,,Q,,,,28.0,DT,595590.0,Broncos,2020.0
Sylvester Williams,,,,,,,,,,,Q,,,32.0,DT,535294.0,Broncos,2020.0
Odell Beckham Jr.,,,,,,Q,,IR,IR,IR,IR,IR,IR,,,,Browns,2020.0
